"n" "mean" "sd" "n_wild" "mean_wild" "sd_wild" "n_captive" "mean_captive" "sd_captive"
"AIME" 61 3.41356879000333 2.07808091822924 30 4.13986283888626 2.66312143364981 31 2.71070358140695 0.861998934909016
"ALGI" 12 3.33246047274346 1.24406536176811 6 3.82947093603855 1.65048984462073 6 2.83545000944837 0.296603582036669
"APIB" 23 2.14372247168686 1.01324372629993 11 2.50727517909125 1.29301503275578 12 1.81046582323283 0.529245407901593
"BOGA" 19 2.63175791630616 0.628832569344612 9 2.60501783885884 0.771865871869116 10 2.65582398600875 0.509826197922974
"CENI" 19 2.78783962820306 0.550378614309047 7 2.19420827084137 0.0965093289478794 12 3.13412458666405 0.368148716439434
"CHMY" 15 2.84688714673445 1.15691946780285 8 2.57075361790896 1.3078054967982 7 3.16246832253502 0.953838953211144
"ELDA" 12 3.24748688043958 0.352836114105661 6 3.20639267869797 0.395713749933931 6 3.28858108218118 0.336515942312927
"EQKI" 39 2.77401270575113 0.269205747933801 18 2.66881142430756 0.209018878604935 21 2.86418523270277 0.286465566158554
"GOGO" 12 3.4856357329788 0.420415638868602 6 3.16392120743424 0.145534863556205 6 3.80735025852336 0.345351296378142
"LALT" 33 2.89415178675099 0.484665478902612 19 2.94269628751958 0.376671545123194 14 2.82826996427934 0.611266861512577
"MOCH" 27 2.46026015884379 0.482262818441742 14 2.04819649263402 0.209607609020119 13 2.90402103014663 0.211875509562941
"MYTR" 11 3.25955072703444 0.638173013038326 6 3.30505497732334 0.818942604397388 5 3.20494562668777 0.415926854606911
"PAAN" 18 3.1644139451784 0.539401846915748 9 3.32547343897431 0.608781149213393 9 3.00335445138249 0.435084072464893
"PATI" 26 4.12731311342815 1.56599696329 13 3.43431950521134 1.62452003797037 13 4.82030672164497 1.19560425147941
"PATR" 11 3.85126061459619 0.197539735134139 5 3.85482952158681 0.273569260001307 6 3.84828652543734 0.134716110970084
"PELE" 35 3.56032323186393 0.93999171664226 17 3.55804621341814 1.01241262996824 18 3.56247374928495 0.895808205907958
"PEMA" 63 2.44953582889398 0.804187520450745 32 2.74690678593662 0.664568535735601 31 2.14257226033384 0.829749531677299
"PYNE" 54 1.97319090995427 0.338255463567977 27 1.68720788130587 0.132471331999082 27 2.25917393860267 0.214059966822115
"RADY" 24 2.91104631386776 0.735380978619096 12 2.47270270404985 0.494676257249118 12 3.34938992368567 0.683229346869259
"RHBR" 19 2.62279781877127 0.312809358599764 9 2.37576714320987 0.201058175853388 10 2.84512542677652 0.209333954735947
"SAHA1" 21 3.93096648528905 1.01260939821658 10 4.44740009924087 1.06238642087442 11 3.46148138169648 0.725117648258797
"SAHA2" 12 4.10308190644946 1.13260055254999 6 4.65626318787498 1.06804421516684 6 3.54990062502394 0.973130776289634
"SHCR" 27 3.66919757240659 0.801031187579565 16 3.53235444047585 0.823853373595192 11 3.8682421279422 0.759373858024673
"TUTR" 22 2.57493285266401 1.24302482459051 10 3.24909254809024 1.46178878840083 12 2.01313310647548 0.6663023093081
"VAHI" 29 1.44575790188856 0.738950770763242 16 1.50118636757477 0.862659428633087 13 1.37753825181322 0.578573923000524
